,X.chrom,start,end,name,score,strand,circ_id,strand,circ_type,gene_id,gene_name,gene_type,logFC,logCPM,LR,PValue,DE,FDR,FC
chr6:18212488|18213781,chr6,18212487,18213781,circ_265,1324,+,chr6:18212488|18213781,+,exon,KDM1B,NA,protein_coding,1.01801244192352,0.521492774996257,21.865640931442,2.92423256705216e-06,1,0.0381963257908354,2.02512707949215
chrX:148661908|148662768,chrX,148661907,148662768,circ_8,10002,+,chrX:148661908|148662768,+,exon,AFF2,NA,protein_coding,0.839807712938113,3.17861776267503,19.8459257499827,8.39414514403845e-06,0,0.0548221619357151,1.78981157408147
chr12:94169153|94186473,chr12,94169152,94186473,circ_30,5503,+,chr12:94169153|94186473,+,exon,PLXNC1,NA,protein_coding,0.746974776013495,2.48939434571377,15.2461380080182,9.43695252438728e-05,0,0.189639190574687,1.67826993119396
chr21:33432177|33432871,chr21,33432176,33432871,circ_78,2972,+,chr21:33432177|33432871,+,exon,IFNGR2,NA,protein_coding,0.759080077937114,1.62082179080493,14.5377628535387,0.00013737803228811,0,0.256347408249614,1.69241112922101
chr2:71526220|71539239,chr2,71526219,71539239,circ_476,851,+,chr2:71526220|71539239,+,exon,DYSF,NA,protein_coding,0.833207473587057,-0.0605467808222204,12.9123656126676,0.000326418489946441,0,0.379669744652183,1.78164200024938
chrX:148651999|148662768,chrX,148651998,148662768,circ_236,1451,+,chrX:148651999|148662768,+,exon,AFF2,NA,protein_coding,0.750502155897992,0.699394355926752,12.5680349040167,0.000392400976328623,0,0.379669744652183,1.68237831056919
chr4:37631385|37638504,chr4,37631384,37638504,circ_3,12558,-,chr4:37631385|37638504,-,exon,RELL1,NA,protein_coding,0.657306389514697,3.45729788173723,12.4677562299496,0.000414037133680373,0,0.386296645723788,1.57713525353864
chr4:102722871|102726683,chr4,102722870,102726683,circ_163,1832,-,chr4:102722871|102726683,-,exon,MANBA,NA,protein_coding,0.745104651513129,0.568622998230866,12.1562288622857,0.000489241979288135,0,0.399404920841351,1.67609584707745
chr1:95143891|95151419,chr1,95143890,95151419,circ_54,3818,+,chr1:95143891|95151419,+,exon,TMEM56,TMEM56-RWDD3,NA,protein_coding,protein_coding,0.676269919580932,2.00197406090061,12.09308263268,0.000506092317457781,0,0.400641081856578,1.5980027816585
chr2:227491547|227524915,chr2,227491546,227524915,circ_556,726,+,chr2:227491547|227524915,+,exon,AGFG1,NA,protein_coding,0.834853579411147,-0.381845912688324,11.7226692838863,0.000617433286656067,0,0.458823204517466,1.78367600255968
chr12:94220016|94227235,chr12,94220015,94227235,circ_366,1030,+,chr12:94220016|94227235,+,exon,PLXNC1,NA,protein_coding,0.754523328633449,0.19001953874369,11.3840527824327,0.000740773174489085,0,0.471998985618362,1.68707408512695
