circRNA_ID	chr	circRNA_start	circRNA_end	X.junction_reads	SM_MS_SMS	X.non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	gene_name	exon_count	exon_sizes
chr2:8243565|8287558	chr2	8243565	8287558	8	3_5_4	32	0.333	n/a	/n/a	-	SRR12794723.4110512,SRR12794723.7716632,SRR12794723.18591555,SRR12794723.24823898,SRR12794723.32009059,SRR12794723.32899534,SRR12794723.275826,SRR12794723.2338824,	LINC00299	2	77,221
chr2:8860613|8868549	chr2	8860613	8868549	2	2_1_1	139	0.028	n/a	/n/a	-	SRR12794723.7240633,SRR12794723.29252422,	MBOAT2	4	152,133,65,104
chr2:8877030|8958642	chr2	8877030	8958642	2	2_2_0	126	0.031	n/a	/n/a	-	SRR12794723.14542801,SRR12794723.28376417,	MBOAT2	6	184,55,56,96,78,146
chr2:8882511|8958642	chr2	8882511	8958642	4	2_4_2	167	0.046	n/a	/n/a	-	SRR12794723.3291100,SRR12794723.21679617,SRR12794723.29209046,SRR12794723.32980941,	MBOAT2	5	55,56,96,78,146
chr2:8888018|8958642	chr2	8888018	8958642	34	8_23_15	165	0.292	n/a	/n/a	-	SRR12794723.2784653,SRR12794723.3960275,SRR12794723.5075009,SRR12794723.8385842,SRR12794723.8386347,SRR12794723.9828042,SRR12794723.11137232,SRR12794723.13164804,SRR12794723.16204091,SRR12794723.16397999,SRR12794723.16644984,SRR12794723.17932030,SRR12794723.21644864,SRR12794723.24135921,SRR12794723.25276450,SRR12794723.27274957,SRR12794723.27477423,SRR12794723.28204557,SRR12794723.29605187,SRR12794723.29951558,SRR12794723.30128754,SRR12794723.32506397,SRR12794723.32699302,SRR12794723.36161179,SRR12794723.36798905,SRR12794723.36799129,SRR12794723.36799397,SRR12794723.40016416,SRR12794723.46087768,SRR12794723.48617425,SRR12794723.2377204,SRR12794723.2377309,SRR12794723.22058983,SRR12794723.22059046,	MBOAT2	4	56,96,78,146
chr2:8908621|8958642	chr2	8908621	8958642	160	49_70_25	145	0.688	n/a	/n/a	-	SRR12794723.8257,SRR12794723.885051,SRR12794723.886496,SRR12794723.1177292,SRR12794723.2357476,SRR12794723.3279582,SRR12794723.3280430,SRR12794723.3524052,SRR12794723.3524471,SRR12794723.4167506,SRR12794723.4373494,SRR12794723.4532220,SRR12794723.4752955,SRR12794723.5172700,SRR12794723.5981352,SRR12794723.6249738,SRR12794723.6432860,SRR12794723.6886286,SRR12794723.7456477,SRR12794723.7834631,SRR12794723.8145394,SRR12794723.8147515,SRR12794723.8891208,SRR12794723.9659801,SRR12794723.10204389,SRR12794723.10205236,SRR12794723.10205256,SRR12794723.10205381,SRR12794723.11053972,SRR12794723.12085701,SRR12794723.12567019,SRR12794723.12567039,SRR12794723.12567474,SRR12794723.12755375,SRR12794723.12755775,SRR12794723.13113617,SRR12794723.13651105,SRR12794723.13651607,SRR12794723.13651648,SRR12794723.13927427,SRR12794723.16215017,SRR12794723.16371132,SRR12794723.17357234,SRR12794723.17357785,SRR12794723.18212738,SRR12794723.18810843,SRR12794723.18811201,SRR12794723.19267976,SRR12794723.20326495,SRR12794723.20482205,SRR12794723.20698587,SRR12794723.21117512,SRR12794723.21171560,SRR12794723.22144960,SRR12794723.22207650,SRR12794723.23069879,SRR12794723.23129073,SRR12794723.23129261,SRR12794723.23233637,SRR12794723.23650570,SRR12794723.24332467,SRR12794723.24352570,SRR12794723.24424064,SRR12794723.24687648,SRR12794723.25193183,SRR12794723.26057862,SRR12794723.26093298,SRR12794723.26240699,SRR12794723.26498862,SRR12794723.26601772,SRR12794723.26632990,SRR12794723.27702643,SRR12794723.28132270,SRR12794723.28567886,SRR12794723.29870212,SRR12794723.29870314,SRR12794723.30113910,SRR12794723.30921096,SRR12794723.31035739,SRR12794723.31253818,SRR12794723.31337973,SRR12794723.31518515,SRR12794723.31841078,SRR12794723.31950772,SRR12794723.32167616,SRR12794723.32167839,SRR12794723.32252470,SRR12794723.32354410,SRR12794723.32414572,SRR12794723.32604984,SRR12794723.32995915,SRR12794723.33085155,SRR12794723.33775278,SRR12794723.33799979,SRR12794723.33800196,SRR12794723.33900245,SRR12794723.33900513,SRR12794723.34320951,SRR12794723.34414653,SRR12794723.34594975,SRR12794723.34905762,SRR12794723.34946407,SRR12794723.35304409,SRR12794723.36540342,SRR12794723.36881619,SRR12794723.37297513,SRR12794723.37355514,SRR12794723.38302697,SRR12794723.38575810,SRR12794723.39289670,SRR12794723.39290511,SRR12794723.39564501,SRR12794723.40134995,SRR12794723.40673602,SRR12794723.41045541,SRR12794723.41143242,SRR12794723.41958452,SRR12794723.42648035,SRR12794723.42680614,SRR12794723.43157938,SRR12794723.43158338,SRR12794723.43216543,SRR12794723.43757613,SRR12794723.43862407,SRR12794723.43913573,SRR12794723.43920372,SRR12794723.44241778,SRR12794723.44241866,SRR12794723.44674438,SRR12794723.44674488,SRR12794723.44675668,SRR12794723.44854926,SRR12794723.45322728,SRR12794723.45524435,SRR12794723.45757668,SRR12794723.46012359,SRR12794723.46021348,SRR12794723.46095063,SRR12794723.46760705,SRR12794723.47085499,SRR12794723.47309494,SRR12794723.47986586,SRR12794723.47986924,SRR12794723.48056274,SRR12794723.48058467,SRR12794723.49072236,SRR12794723.49507112,SRR12794723.429333,SRR12794723.429445,SRR12794723.9027649,SRR12794723.22072925,SRR12794723.22073213,SRR12794723.31278724,SRR12794723.32171408,SRR12794723.32175046,SRR12794723.34543444,SRR12794723.34543927,SRR12794723.37336594,SRR12794723.43022666,SRR12794723.48655861,	MBOAT2	3	96,78,146
chr2:8908621|8974435	chr2	8908621	8974435	2	1_1_1	106	0.036	n/a	/n/a	-	SRR12794723.12638971,SRR12794723.37275061,	MBOAT2	4	96,78,146,77
chr2:8943187|8958642	chr2	8943187	8958642	77	25_50_22	222	0.41	n/a	/n/a	-	SRR12794723.529360,SRR12794723.962012,SRR12794723.962844,SRR12794723.1845980,SRR12794723.2676120,SRR12794723.2921828,SRR12794723.3566990,SRR12794723.4036484,SRR12794723.4532065,SRR12794723.6038043,SRR12794723.8078258,SRR12794723.9259201,SRR12794723.9454014,SRR12794723.9829917,SRR12794723.10103809,SRR12794723.10540147,SRR12794723.10940341,SRR12794723.10994741,SRR12794723.13262088,SRR12794723.14611717,SRR12794723.14712264,SRR12794723.14745564,SRR12794723.16813641,SRR12794723.16813713,SRR12794723.16813737,SRR12794723.18193597,SRR12794723.18903497,SRR12794723.19188230,SRR12794723.19188252,SRR12794723.20429366,SRR12794723.21602720,SRR12794723.21614037,SRR12794723.22773494,SRR12794723.23620280,SRR12794723.28163303,SRR12794723.30007584,SRR12794723.30143838,SRR12794723.31511575,SRR12794723.31511625,SRR12794723.31513239,SRR12794723.31930450,SRR12794723.35892947,SRR12794723.36334698,SRR12794723.37414702,SRR12794723.37571021,SRR12794723.37882967,SRR12794723.37883174,SRR12794723.38796280,SRR12794723.39862626,SRR12794723.39947797,SRR12794723.41087161,SRR12794723.41270056,SRR12794723.41270109,SRR12794723.42348619,SRR12794723.43853463,SRR12794723.43927256,SRR12794723.44146908,SRR12794723.46257332,SRR12794723.46374252,SRR12794723.47963049,SRR12794723.47963601,SRR12794723.2234223,SRR12794723.2234695,SRR12794723.2705188,SRR12794723.5144219,SRR12794723.12742141,SRR12794723.14047057,SRR12794723.18474250,SRR12794723.19805083,SRR12794723.20281001,SRR12794723.20490372,SRR12794723.35266041,SRR12794723.41468851,SRR12794723.42771524,SRR12794723.46038135,SRR12794723.48838015,SRR12794723.48972237,	MBOAT2	2	78,146
chr2:8943187|8974435	chr2	8943187	8974435	19	8_10_14	188	0.168	n/a	/n/a	-	SRR12794723.4757015,SRR12794723.10670883,SRR12794723.12862416,SRR12794723.19400199,SRR12794723.19401177,SRR12794723.19401330,SRR12794723.21351335,SRR12794723.23718218,SRR12794723.31352870,SRR12794723.37206655,SRR12794723.37868969,SRR12794723.38753275,SRR12794723.38753629,SRR12794723.39662685,SRR12794723.40120378,SRR12794723.42188615,SRR12794723.48283103,SRR12794723.48851804,SRR12794723.49085103,	MBOAT2	3	78,146,77
chr2:9356047|9358889	chr2	9356047	9358889	4	0_2_2	17	0.32	n/a	/n/a	+	SRR12794723.150504,SRR12794723.3885968,SRR12794723.24779563,SRR12794723.24792680,	ASAP2	3	49,167,134
