circRNA_ID	chr	circRNA_start	circRNA_end	X.junction_reads	SM_MS_SMS	X.non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	gene_name	exon_count	exon_sizes
chr18:196637|199316	chr18	196637	199316	6	4_4_0	37	0.245	n/a	/n/a	+	SRR12794696.5135327,SRR12794696.9303222,SRR12794696.9303256,SRR12794696.14971141,SRR12794696.34792031,SRR12794696.34792185,	USP14	4	131,81,86,115
chr18:196637|204692	chr18	196637	204692	4	3_3_0	45	0.151	n/a	/n/a	+	SRR12794696.31853828,SRR12794696.45846642,SRR12794696.45847482,SRR12794696.47488851,	USP14	7	131,81,86,115,66,93,129
chr18:216486|224179	chr18	216486	224179	3	2_1_1	74	0.075	n/a	/n/a	-	SRR12794696.3176905,SRR12794696.6404373,SRR12794696.19008490,	THOC1	4	148,84,66,96
chr18:2666157|2674145	chr18	2666157	2674145	6	1_5_3	1918	0.006	n/a	/n/a	+	SRR12794696.5273882,SRR12794696.25493483,SRR12794696.32343176,SRR12794696.34431896,SRR12794696.6410197,SRR12794696.6410324,	SMCHD1	4	76,162,83,131
chr18:2688394|2707920	chr18	2688394	2707920	2	2_2_0	2136	0.002	n/a	/n/a	+	SRR12794696.3895992,SRR12794696.34190338,	SMCHD1	12	115,120,167,91,211,121,184,195,114,107,83,114
chr18:2694527|2698041	chr18	2694527	2698041	3	3_2_0	1788	0.003	n/a	/n/a	+	SRR12794696.18687923,SRR12794696.39710326,SRR12794696.7069918,	SMCHD1	3	167,91,211
chr18:2718158|2718434	chr18	2718158	2718434	4	4_4_0	2046	0.004	n/a	/n/a	+	SRR12794696.6700936,SRR12794696.8160814,SRR12794696.19364345,SRR12794696.32357140,	SMCHD1	2	78,120
chr18:2724899|2752552	chr18	2724899	2752552	6	1_5_6	1710	0.007	n/a	/n/a	+	SRR12794696.3868872,SRR12794696.6704941,SRR12794696.10364281,SRR12794696.29074293,SRR12794696.36035034,SRR12794696.48119610,	SMCHD1	14	97,73,140,135,228,149,89,119,168,126,80,158,116,65
chr18:2732265|2740821	chr18	2732265	2740821	5	5_5_0	2159	0.005	n/a	/n/a	+	SRR12794696.6082493,SRR12794696.17658302,SRR12794696.21854824,SRR12794696.25734691,SRR12794696.42693685,	SMCHD1	4	228,149,89,119
chr18:2732265|2762236	chr18	2732265	2762236	3	3_3_0	1562	0.004	n/a	/n/a	+	SRR12794696.3614027,SRR12794696.21495538,SRR12794696.39450686,	SMCHD1	12	228,149,89,119,168,126,80,158,116,65,88,132
chr18:2762105|2772372	chr18	2762105	2772372	3	1_1_1	1719	0.003	n/a	/n/a	+	SRR12794696.36335087,SRR12794696.38922369,SRR12794696.38930970,	SMCHD1	6	132,153,127,120,86,123
chr18:2795949|2796521	chr18	2795949	2796521	10	5_2_0	1503	0.013	n/a	/n/a	+	SRR12794696.14016907,SRR12794696.20118543,SRR12794696.5798909,SRR12794696.17876649,SRR12794696.20904954,SRR12794696.22124661,SRR12794696.22126435,SRR12794696.32169602,SRR12794696.42708559,SRR12794696.45554071,	SMCHD1	2	159,115
